2a stud num	seat
40923118	(6,1)
40923124	
40923127	(6,8)
40923139	
40923213	(6,9)
41023134	(5,7)
41023155	(5,9)
41023156	(5,8)
41023238	
41023245	(6,5)
41023246	(6,6)
41036114	
41123101	(3,8)
41123102	(3,9)
41123105	(1,3)
41123107	(3,7)
41123108	(1,6)
41123111	(4,6)
41123112	(4,8)
41123114	(4,3)
41123115	(4,5)
41123116	
41123117	(4,2)
41123119	(1,2)
41123120	(1,5)
41123122	(3,5)
41123123	(1,1)
41123124	(2,3)
41123126	(4,4)
41123128	(4,1)
41123129	(5,4)
41123130	(1,9)
41123131	(3,2)
41123133	
41123134	(3,6)
41123135	(3,3)
41123136	
41123137	(1,8)
41123138	
41123139	(3,1)
41123140	(2,1)
41123141	(5,2)
41123142	
41123143	(5,3)
41123144	(5,1)
41123145	(1,7)
41123146	(2,8)
41123148	(2,6)
41123149	(3,4)
41123150	(2,2)
41123152	(1,4)
41123153	(6,3)
41123154	(6,2)
41136113	
41136120	
41136123	(2,5)
