2b stud num	seat
41123201	
41123202	(3,8)
41123203	(3,7)
41123204	(6,8)
41123205	(2,9)
41123206	(3,4)
41123207	(1,5)
41123208	(2,3)
41123209	(2,6)
41123210	(4,3)
41123211	(6,2)
41123212	(1,7)
41123213	(1,3)
41123214	(4,1)
41123215	(1,4)
41123216	(6,9)
41123217	(6,7)
41123218	(4,5)
41123219	
41123220	(1,1)
41123221	(2,2)
41123222	(3,9)
41123223	(3,5)
41123224	(4,2)
41123226	(3,3)
41123227	(3,6)
41123228	
41123229	(5,2)
41123230	(2,7)
41123231	(1,2)
41123232	(6,5)
41123233	(2,8)
41123234	
41123235	(5,1)
41123236	(5,3)
41123237	(1,9)
41123238	(1,8)
41123239	(4,8)
41123240	(4,4)
41123241	(5,7)
41123243	(5,8)
41123244	
41123245	(4,9)
41123246	(5,6)
41123247	(6，3)
41123248	
41123249	(5,9)
41123250	(5,5)
41123251	(5,4)
41132222	(6,4)
41136103	(7,3)
41136124	(3,2)
41136126	
41136131	
